example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,gate_fs,challenger_fs,default_gate_value,default_low_confidence,default_challenger_agree,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,min_fs112_verifier_confidence,fs112_confidence_fallback,fs112_confidence_fallback_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response,_routed_row_index,latency_case,latency_sample_index,case_full_count,case_full_ratio,case_sample_count,full_total_count,sample_seed,sample_uid,fs224_mean_ms,fs224_median_ms,fs224_p90_ms,fs224_std_ms,fs224_repeats_ms,fs224_error,fs224_cache_build_ms_for_video,fs112_mean_ms,fs112_median_ms,fs112_p90_ms,fs112_std_ms,fs112_repeats_ms,fs112_error,fs112_cache_build_ms_for_video,verifier_mean_ms,verifier_median_ms,verifier_p90_ms,verifier_std_ms,verifier_repeats_ms,verifier_error
106,"{""choices"": ""[\""Right side of stage\"", \""Second floor on the left\"", \""On the left side of the stage\"", \""Second floor on the right\""]"", ""correct_choice"": ""D"", ""question"": ""Where is the harp player, respective to the people on the stage?"", ""video_id"": ""8QdE--Y-x7U""}",8QdE--Y-x7U,"Where is the harp player, respective to the people on the stage?","[""Right side of stage"", ""Second floor on the left"", ""On the left side of the stage"", ""Second floor on the right""]",entity recognition,D,B,B,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.4615698605775833,False,True,0.4615698605775833,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,106,case1_high_confidence,0,404,0.5466847091,5,739,2026,case1_high_confidence_0,168.60940936021507,168.5142070055008,169.23091001808643,1.0022801059334077,"[169.23091001808643, 168.3032028377056, 168.5142070055008, 170.00094894319773, 166.99777799658477]",,129639.02184693143,,,,,,,,,,,,,
278,"{""choices"": ""[\""Green\"", \""Red\"", \""Gray\"", \""Black\""]"", ""correct_choice"": ""D"", ""question"": ""What color is the inner layer of clothing worn by the second speaker in the video?"", ""video_id"": ""QB7FoIpx8os""}",QB7FoIpx8os,What color is the inner layer of clothing worn by the second speaker in the video?,"[""Green"", ""Red"", ""Gray"", ""Black""]",entity recognition,D,D,D,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.6391774564981461,False,True,0.6391774564981461,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,278,case1_high_confidence,1,404,0.5466847091,5,739,2026,case1_high_confidence_1,170.37158254534006,170.1510031707585,170.7202699035406,0.40386438046949547,"[169.96322781778872, 170.04305287264287, 170.1510031707585, 170.7202699035406, 170.9803589619696]",,124184.57526993006,,,,,,,,,,,,,
428,"{""choices"": ""[\""The protagonist flees the fight\"", \""The protagonist injures all the Samurais\"", \""The protagonist spares the last remaining Samurai\"", \""The protagonist kills all the Samurais\""]"", ""correct_choice"": ""A"", ""question"": ""Which sentence best describes the outcome of the fight between the protagonist and the second time she encounters a group of Samurais?"", ""video_id"": ""Za2Z_JRxCuk""}",Za2Z_JRxCuk,Which sentence best describes the outcome of the fight between the protagonist and the second time she encounters a group of Samurais?,"[""The protagonist flees the fight"", ""The protagonist injures all the Samurais"", ""The protagonist spares the last remaining Samurai"", ""The protagonist kills all the Samurais""]",event understanding,A,C,C,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.46017037332057953,False,True,0.46017037332057953,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,428,case1_high_confidence,2,404,0.5466847091,5,739,2026,case1_high_confidence_2,155.38827339187264,155.36884404718876,155.4537999909371,0.07874523842781136,"[155.50357103347778, 155.36884404718876, 155.30482586473227, 155.3103260230273, 155.4537999909371]",,43121.022967854515,,,,,,,,,,,,,
441,"{""choices"": ""[\""Mikhail\"", \""Staffan\"", \""Eric\"", \""Nathan\""]"", ""correct_choice"": ""A"", ""question"": ""What is the name of the elder who joins the vlogger on their travel?"", ""video_id"": ""_T2Avd3tFHc""}",_T2Avd3tFHc,What is the name of the elder who joins the vlogger on their travel?,"[""Mikhail"", ""Staffan"", ""Eric"", ""Nathan""]","entity recognition, key information retrieval",A,A,A,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.6784603595733643,False,True,0.6784603595733643,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,441,case1_high_confidence,3,404,0.5466847091,5,739,2026,case1_high_confidence_3,165.43022557161748,165.85234901867807,166.2754479330033,1.06059812976717,"[166.2754479330033, 166.67715390212834, 165.85234901867807, 164.26290897652507, 164.08326802775264]",,40358.703415840864,,,,,,,,,,,,,
581,"{""choices"": ""[\""She dances with people\"", \""She throws her shoe away\"", \""She walks barefoot\"", \""She fights with a police\""]"", ""correct_choice"": ""A"", ""question"": ""What does the woman do before throwing the Coca-Cola can into the air?"", ""video_id"": ""q01CUy_gwdU""}",q01CUy_gwdU,What does the woman do before throwing the Coca-Cola can into the air?,"[""She dances with people"", ""She throws her shoe away"", ""She walks barefoot"", ""She fights with a police""]","entity recognition, key information retrieval",A,B,B,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.9297898057848215,False,True,0.9297898057848215,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,581,case1_high_confidence,4,404,0.5466847091,5,739,2026,case1_high_confidence_4,169.56823500804603,168.9125751145184,168.98700199089944,1.4904646745256063,"[172.54044604487717, 168.9125751145184, 168.70039305649698, 168.98700199089944, 168.70075883343816]",,72194.9550351128,,,,,,,,,,,,,
120,"{""choices"": ""[\""1\"", \""5\"", \""2\"", \""4\""]"", ""correct_choice"": ""D"", ""question"": ""How many times does the protagonist knock on the green door?"", ""video_id"": ""Cm73ma6Ibcs""}",Cm73ma6Ibcs,How many times does the protagonist knock on the green door?,"[""1"", ""5"", ""2"", ""4""]",event understanding,D,A,A,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.16102036833763123,True,True,0.16102036833763123,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,120,case2_low_confidence_agree,0,185,0.2503382950,5,739,2026,case2_low_confidence_agree_5,155.3672717884183,155.3028509952128,155.35362786613405,0.2773520009989361,"[155.88460606522858, 155.3028509952128, 155.05771804600954, 155.2375559695065, 155.35362786613405]",,78154.9209789373,167.47065954841673,167.52560203894973,167.75870695710182,0.3340886191571004,"[167.75870695710182, 167.52560203894973, 167.39804483950138, 167.79929399490356, 166.87164991162717]",,49048.805322963744,,,,,,
257,"{""choices"": ""[\""Beth\"", \""Will\"", \""Fran\"", \""Paul\""]"", ""correct_choice"": ""B"", ""question"": ""Who falls and ruptures?"", ""video_id"": ""NzCO0G8AGLU""}",NzCO0G8AGLU,Who falls and ruptures?,"[""Beth"", ""Will"", ""Fran"", ""Paul""]",entity recognition,B,A,A,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.1537797898054123,True,True,0.1537797898054123,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,257,case2_low_confidence_agree,1,185,0.2503382950,5,739,2026,case2_low_confidence_agree_6,161.40572540462017,161.27477609552443,161.52045596390963,0.27377367381618,"[161.52045596390963, 161.8897400330752, 161.27477609552443, 161.19135497137904, 161.15229995921254]",,52077.85632601008,152.48102634213865,152.42765308357775,152.71948487497866,0.6058420505616406,"[152.71948487497866, 152.42765308357775, 151.68362692929804, 152.09718281403184, 153.47718400880694]",,31868.613908067346,,,,,,
630,"{""choices"": ""[\""Because it's closed on Monday\"", \""Because foreigners are not allowed to enter\"", \""Because the author does not have enough money to buy a ticket\"", \""Because the author has other things to do\""]"", ""correct_choice"": ""A"", ""question"": ""What might be the most likely reason the vlogger doesn't enter the national monument on the first day?"", ""video_id"": ""tH_5YbklevQ""}",tH_5YbklevQ,What might be the most likely reason the vlogger doesn't enter the national monument on the first day?,"[""Because it's closed on Monday"", ""Because foreigners are not allowed to enter"", ""Because the author does not have enough money to buy a ticket"", ""Because the author has other things to do""]",reasoning,A,A,A,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.24748772382736206,True,True,0.24748772382736206,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,630,case2_low_confidence_agree,2,185,0.2503382950,5,739,2026,case2_low_confidence_agree_7,171.95173962973058,171.96676996536553,172.07457101903856,0.14111716080523182,"[171.96676996536553, 172.0929890871048, 171.69959214515984, 171.9247759319842, 172.07457101903856]",,71749.98141382821,169.67451120726764,169.75960391573608,169.86736399121583,0.23408693028551814,"[169.86736399121583, 169.31515303440392, 169.49487896636128, 169.75960391573608, 169.9355561286211]",,46375.85048889741,,,,,,
642,"{""choices"": ""[\""Venus feels under pressure, but she gets the return back\"", \""Venus feels bad that she made a bad error to give her sister game point\"", \""Venus maintains her composure, quickly refocusing for the next point with a determined expression\"", \""Venus shows frustration as she clenches her fist and shakes her head in disappointment\""]"", ""correct_choice"": ""B"", ""question"": ""What is Venus's mood at IBM 163 when she hit the ball out of bounds to make it 30-40?"", ""video_id"": ""tKIFQI9cH2c""}",tKIFQI9cH2c,What is Venus's mood at IBM 163 when she hit the ball out of bounds to make it 30-40?,"[""Venus feels under pressure, but she gets the return back"", ""Venus feels bad that she made a bad error to give her sister game point"", ""Venus maintains her composure, quickly refocusing for the next point with a determined expression"", ""Venus shows frustration as she clenches her fist and shakes her head in disappointment""]",reasoning,B,D,D,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.19222599267959595,True,True,0.19222599267959595,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,642,case2_low_confidence_agree,3,185,0.2503382950,5,739,2026,case2_low_confidence_agree_8,182.53949801437557,182.73040698841214,182.76508897542953,0.44491662952367983,"[181.89558503217995, 183.13379492610693, 182.76508897542953, 182.17261414974928, 182.73040698841214]",,91517.48891011812,176.0172112379223,176.20951682329178,176.32551514543593,0.49041829928362035,"[176.32551514543593, 176.38311092741787, 176.20951682329178, 176.11368116922677, 175.0542321242392]",,57734.77330687456,,,,,,
597,"{""choices"": ""[\""They stands and watch\"", \""There is no audience near the stage\"", \""They sit on chairs and watch\"", \""They try to step onto the stage and watch\""]"", ""correct_choice"": ""A"", ""question"": ""How does the audience near the stage at the first floor watch the performance?"", ""video_id"": ""rk24OUu_kJQ""}",rk24OUu_kJQ,How does the audience near the stage at the first floor watch the performance?,"[""They stands and watch"", ""There is no audience near the stage"", ""They sit on chairs and watch"", ""They try to step onto the stage and watch""]",entity recognition,A,A,A,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.11693555116653442,True,True,0.11693555116653442,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,597,case2_low_confidence_agree,4,185,0.2503382950,5,739,2026,case2_low_confidence_agree_9,166.14644741639495,165.13753798790276,165.69599998183548,2.1467852831938874,"[165.09097814559937, 165.13753798790276, 170.36582296714187, 165.69599998183548, 164.44189799949527]",,112975.96788499504,161.07453117147088,161.06230695731938,161.2469449173659,0.854990816484918,"[161.2469449173659, 160.79201293177903, 161.06230695731938, 162.46570902876556, 159.80568202212453]",,71500.18391385674,,,,,,
546,"{""choices"": ""[\""Get the ball\"", \""High fives\"", \""Kick the ball\"", \""Shooting\""]"", ""correct_choice"": ""A"", ""question"": ""What are the actions of people in the first picture in the The Five Thing #4?"", ""video_id"": ""moALQl818ZY""}",moALQl818ZY,What are the actions of people in the first picture in the The Five Thing #4?,"[""Get the ball"", ""High fives"", ""Kick the ball"", ""Shooting""]",entity recognition,A,A,B,1.0,0.0,route_112,prob_margin,0.3,lt,224,112,0.036759257316589355,True,False,0.036759257316589355,True,False,llm,llm_verifier_disagreement,route_112,X,0.58,"X has slightly higher top1_prob and prob_margin, with marginally lower entropy.",0.0,False,,,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.58,""reason"":""X has slightly higher top1_prob and prob_margin, with marginally lower entropy.""}",546,case3_low_confidence_disagree,0,150,0.2029769959,5,739,2026,case3_low_confidence_disagree_10,174.58791038952768,174.5334800798446,174.58489583805203,0.7532453356286402,"[174.58489583805203, 175.95650907605886, 174.5334800798446, 174.1573850158602, 173.7072819378227]",,105426.35583411902,171.32854601368308,171.27290810458362,171.65317595936358,0.404538294673894,"[171.85865598730743, 171.65317595936358, 171.16295802406967, 170.6950319930911, 171.27290810458362]",,67935.23481697775,,,,,,
721,"{""choices"": ""[\""1\"", \""4\"", \""2\"", \""3\""]"", ""correct_choice"": ""C"", ""question"": ""How many arches are there on the overpass?"", ""video_id"": ""wgBlACG927Y""}",wgBlACG927Y,How many arches are there on the overpass?,"[""1"", ""4"", ""2"", ""3""]",entity recognition,C,D,C,0.0,1.0,route_224,prob_margin,0.3,lt,224,112,0.050886720418930054,True,False,0.050886720418930054,True,False,llm,llm_verifier_disagreement,route_112,Y,0.67,"Y has higher top1_prob and much larger prob_margin, with slightly lower entropy.",0.0,False,,,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.67,""reason"":""Y has higher top1_prob and much larger prob_margin, with slightly lower entropy.""}",721,case3_low_confidence_disagree,1,150,0.2029769959,5,739,2026,case3_low_confidence_disagree_11,163.87258265167475,163.71623612940311,164.60331087000668,0.6579550250087987,"[164.60331087000668, 163.28377509489655, 163.71623612940311, 163.08628511615098, 164.6733060479164]",,49531.187313143164,163.13743125647306,163.11786812730134,163.23459707200527,0.9568097252176719,"[164.85181101597846, 163.23459707200527, 163.11786812730134, 162.1344310697168, 162.34844899736345]",,31733.938812976703,,,,,,
699,"{""choices"": ""[\""No smoking\"", \""Safety first\"", \""Don't be late\"", \""Beware of danger\""]"", ""correct_choice"": ""A"", ""question"": ""What was written on the building behind Arve Nordeide when he came from a distance?"", ""video_id"": ""vaL_vSdZKZo""}",vaL_vSdZKZo,What was written on the building behind Arve Nordeide when he came from a distance?,"[""No smoking"", ""Safety first"", ""Don't be late"", ""Beware of danger""]","key information retrieval, entity recognition",A,A,D,1.0,0.0,route_112,prob_margin,0.3,lt,224,112,0.049878716468811035,True,False,0.049878716468811035,True,False,llm,llm_verifier_disagreement,route_112,X,0.67,X has higher top1_prob and much larger prob_margin; entropy is slightly worse but overall confidence favors X.,0.0,False,,,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.67,""reason"":""X has higher top1_prob and much larger prob_margin; entropy is slightly worse but overall confidence favors X.""}",699,case3_low_confidence_disagree,2,150,0.2029769959,5,739,2026,case3_low_confidence_disagree_12,172.56954284384847,172.65255306847394,172.85011801868677,0.7508029340280732,"[173.75474306754768, 172.85011801868677, 172.65255306847394, 172.04896500334144, 171.5413350611925]",,73441.43590400927,175.72243250906467,175.59700785204768,176.4876819215715,0.7440197181651366,"[176.66783998720348, 176.4876819215715, 174.83978089876473, 175.59700785204768, 175.019851885736]",,46618.61353111453,,,,,,
631,"{""choices"": ""[\""Church\"", \""Hotel\"", \""Mall\"", \""Subway station\""]"", ""correct_choice"": ""A"", ""question"": ""Where does the vlogger go after crossing the street that has a no parking sign?"", ""video_id"": ""tH_5YbklevQ""}",tH_5YbklevQ,Where does the vlogger go after crossing the street that has a no parking sign?,"[""Church"", ""Hotel"", ""Mall"", ""Subway station""]","event understanding, key information retrieval",A,D,B,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.13605281710624695,True,False,0.13605281710624695,True,False,llm,llm_verifier_disagreement,route_112,X,0.61,"X has slightly higher top1_prob and prob_margin, with essentially similar entropy.",0.0,False,,,224,112,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.61,""reason"":""X has slightly higher top1_prob and prob_margin, with essentially similar entropy.""}",631,case3_low_confidence_disagree,3,150,0.2029769959,5,739,2026,case3_low_confidence_disagree_13,169.58524780347943,168.5727210715413,170.67166278138757,1.4588603344600422,"[171.93117015995085, 170.67166278138757, 168.42415905557573, 168.3265259489417, 168.5727210715413]",,71749.98141382821,166.35539382696152,166.16661986336112,166.19410598650575,1.2240202240201947,"[166.16661986336112, 165.3414061293006, 165.38348514586687, 168.69135200977325, 166.19410598650575]",,46375.85048889741,,,,,,
569,"{""choices"": ""[\""14\"", \""12\"", \""11\"", \""13\""]"", ""correct_choice"": ""C"", ""question"": ""When the actors take their final call, how many people in white and purple clothes are the first to appear on the stage?"", ""video_id"": ""o-gLbgpzCc8""}",o-gLbgpzCc8,"When the actors take their final call, how many people in white and purple clothes are the first to appear on the stage?","[""14"", ""12"", ""11"", ""13""]",event understanding,C,B,A,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.14307019114494324,True,False,0.14307019114494324,True,False,llm,llm_verifier_disagreement,route_224,X,0.61,"X has higher top1_prob and a much larger prob_margin; entropy is similar, slightly favoring X overall.",0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.61,""reason"":""X has higher top1_prob and a much larger prob_margin; entropy is similar, slightly favoring X overall.""}",569,case3_low_confidence_disagree,4,150,0.2029769959,5,739,2026,case3_low_confidence_disagree_14,173.68787117302418,171.85856378637254,172.63369099237025,4.334333453134527,"[182.25138005800545, 171.85856378637254, 172.63369099237025, 170.9170180838555, 170.77870294451714]",,56535.03430914134,167.8099688142538,167.58502298034728,168.05960913188756,0.47331965244264196,"[168.62106905318797, 168.05960913188756, 167.58502298034728, 167.39825787954032, 167.3858850263059]",,37270.78233798966,,,,,,
