internal_block_size,case,description,effective_tokens_per_second,total_video_tokens,single_gpu_s,two_gpu_est_s,fs224_s,fs112_s,fs224_frames,fs112_frames,fs224_tokens,fs112_tokens,fs224_effective_fps,fs112_effective_fps,driver_elapsed_s
128,A,fs224@1.0 only baseline,64.0,117952,23.85942669585347,23.859385672956705,23.859385672956705,,1843,,117952,,1.0,,77.02485598810017
128,B,fs112@2.0 + fs224@0.5 temporal-heavy,64.0,117984,25.157211991026998,12.661984988953918,12.661984988953918,12.49518335191533,922,3686,59008,58976,0.5,2.0,103.69767620135099
128,C,fs112@1.0 + fs224@0.75 balanced-highres,64.0,118000,24.135182416066527,18.098200311884284,18.098200311884284,6.036932860035449,1383,1843,88512,29488,0.75,1.0,103.77394124120474
128,D,fs112@0.5 + fs224@0.875 spatial-heavy,64.88888888888889,119648,24.223840411752462,21.225086433812976,21.225086433812976,2.9985927348025143,1639,922,104896,14752,0.8888888888888888,0.5,101.91018670611084
128,E,fs112@4.0 only low-res dense,64.0,117952,24.080597382970154,24.080442243721336,,24.080442243721336,,7372,,117952,,4.0,89.24310199217871
256,A,fs224@1.0 only baseline,64.0,117952,22.95771006681025,22.95766525529325,22.95766525529325,,1843,,117952,,1.0,,73.76087843999267
256,B,fs112@2.0 + fs224@0.5 temporal-heavy,64.0,117984,23.00846164021641,11.653206456452608,11.355104732327163,11.653206456452608,922,3686,59008,58976,0.5,2.0,101.48760784137994
256,C,fs112@1.0 + fs224@0.75 balanced-highres,64.0,118000,22.87592572486028,17.00642612669617,17.00642612669617,5.86934204492718,1383,1843,88512,29488,0.75,1.0,101.41714533697814
256,D,fs112@0.5 + fs224@0.875 spatial-heavy,64.88888888888889,119648,23.452215292025357,20.398916928097606,20.398916928097606,3.0531118591316044,1639,922,104896,14752,0.8888888888888888,0.5,101.36985391378403
256,E,fs112@4.0 only low-res dense,64.0,117952,23.695970666129142,23.69574295822531,,23.69574295822531,,7372,,117952,,4.0,89.43794739013538
512,A,fs224@1.0 only baseline,64.0,117952,22.56099727936089,22.560838907957077,22.560838907957077,,1843,,117952,,1.0,,77.65775825409219
512,B,fs112@2.0 + fs224@0.5 temporal-heavy,64.0,117984,22.891066551208496,11.494107276201248,11.396806669887155,11.494107276201248,922,3686,59008,58976,0.5,2.0,101.01084577012807
512,C,fs112@1.0 + fs224@0.75 balanced-highres,64.0,118000,22.87313660699874,17.096492847893387,17.096492847893387,5.776482495013624,1383,1843,88512,29488,0.75,1.0,106.66144753526896
512,D,fs112@0.5 + fs224@0.875 spatial-heavy,64.88888888888889,119648,23.106771833729,20.121825366746634,20.121825366746634,2.9847745299339294,1639,922,104896,14752,0.8888888888888888,0.5,104.07941273599863
512,E,fs112@4.0 only low-res dense,64.0,117952,22.803055794909596,22.802898238878697,,22.802898238878697,,7372,,117952,,4.0,79.72739392984658
